timestamp,campaign_id,polymer_A_feed_kgph,solvent_A_feed_kgph,water_feed_kgph,surfactant_feed_kgph,emulsifier_speed_rpm,operating_mode,emulsion_total_flow_kgph,monitoring_port_status,notes
2026-01-01 00:00:00,C-101,24.04,976.01,509.96,11.06,1744.0,RUN,1521.07,ONLINE,
2026-01-01 00:01:00,C-101,23.99,976.0,509.11,11.03,1745.0,RUN,1520.13,ONLINE,
2026-01-01 00:02:00,C-101,24.06,976.06,510.64,11.05,1753.0,RUN,1521.81,ONLINE,
2026-01-01 00:03:00,C-101,24.13,975.92,510.57,11.04,1757.0,RUN,1521.66,ONLINE,
2026-01-01 00:04:00,C-101,24.0,975.84,509.59,11.06,1758.0,RUN,1520.49,ONLINE,
2026-01-01 00:05:00,C-101,24.0,975.99,510.58,11.06,1748.0,RUN,1521.63,ONLINE,
2026-01-01 00:06:00,C-101,24.15,976.0,510.36,11.07,1759.0,RUN,1521.58,ONLINE,
2026-01-01 00:07:00,C-101,24.09,976.09,509.22,11.06,1746.0,RUN,1520.46,ONLINE,
2026-01-01 00:08:00,C-101,24.0,975.87,509.54,11.05,1754.0,RUN,1520.46,ONLINE,
2026-01-01 00:09:00,C-101,24.08,976.06,510.95,11.09,1758.0,RUN,1522.18,ONLINE,
2026-01-01 00:10:00,C-101,24.0,976.15,510.38,11.02,1746.0,RUN,1521.55,ONLINE,
2026-01-01 00:11:00,C-101,24.01,975.92,509.79,11.08,1768.0,RUN,1520.8,ONLINE,
2026-01-01 00:12:00,C-101,24.07,975.85,509.6,11.04,1764.0,RUN,1520.56,ONLINE,
2026-01-01 00:13:00,C-101,23.9,975.91,509.86,11.06,1762.0,RUN,1520.73,ONLINE,
2026-01-01 00:14:00,C-101,23.92,975.94,509.92,11.04,1754.0,RUN,1520.82,ONLINE,
2026-01-01 00:15:00,C-101,24.02,975.98,509.66,11.04,1759.0,RUN,1520.7,ONLINE,
2026-01-01 00:16:00,C-101,23.98,975.89,509.05,11.06,1764.0,RUN,1519.98,ONLINE,
2026-01-01 00:17:00,C-101,24.1,976.05,511.08,11.07,1755.0,RUN,1522.3,ONLINE,
2026-01-01 00:18:00,C-101,24.0,975.84,510.98,11.06,1760.0,RUN,1521.88,ONLINE,
2026-01-01 00:19:00,C-101,23.96,975.78,509.42,11.04,1766.0,RUN,1520.2,ONLINE,
2026-01-01 00:20:00,C-101,24.2,976.01,510.43,11.12,1755.0,RUN,1521.76,ONLINE,
2026-01-01 00:21:00,C-101,24.07,975.73,509.72,11.07,1765.0,RUN,1520.59,ONLINE,
2026-01-01 00:22:00,C-101,24.1,975.89,510.18,11.07,1755.0,RUN,1521.24,ONLINE,
2026-01-01 00:23:00,C-101,23.98,976.16,510.14,11.04,1759.0,RUN,1521.32,ONLINE,
2026-01-01 00:24:00,C-101,24.05,975.9,510.1,11.04,1762.0,RUN,1521.09,ONLINE,
2026-01-01 00:25:00,C-101,24.11,975.81,511.82,11.04,1767.0,RUN,1522.78,ONLINE,
2026-01-01 00:26:00,C-101,24.01,975.89,510.12,11.07,1762.0,RUN,1521.09,ONLINE,
2026-01-01 00:27:00,C-101,24.14,975.89,509.88,11.03,1766.0,RUN,1520.94,ONLINE,
2026-01-01 00:28:00,C-101,24.06,975.9,509.93,11.03,1763.0,RUN,1520.92,ONLINE,
2026-01-01 00:29:00,C-101,24.09,975.94,511.21,11.06,1764.0,RUN,1522.3,ONLINE,
2026-01-01 00:30:00,C-101,24.07,975.8,509.34,11.06,1773.0,RUN,1520.27,ONLINE,
2026-01-01 00:31:00,C-101,24.27,976.01,509.98,11.03,1761.0,RUN,1521.29,ONLINE,
