timestamp,campaign_id,sample_location,d10_um,d50_um,d90_um,span,volume_mean_diameter_um,qc_status,analyzer_id
2026-01-01 00:00:00,C-101,Monitoring Port,64.16,81.8,97.34,0.406,80.31,PASS,PSA-01
2026-01-01 00:00:00,C-101,Product 1,23.27,30.33,39.65,0.54,32.47,PASS,PSA-01
2026-01-01 00:00:00,C-101,Product 2,21.01,27.81,34.94,0.501,29.72,PASS,PSA-02
2026-01-01 00:06:00,C-101,Monitoring Port,66.06,82.46,100.55,0.418,79.61,PASS,PSA-01
2026-01-01 00:06:00,C-101,Product 1,20.65,31.08,39.55,0.608,31.66,PASS,PSA-01
2026-01-01 00:06:00,C-101,Product 2,21.41,29.05,33.59,0.419,28.59,PASS,PSA-02
2026-01-01 00:12:00,C-101,Monitoring Port,66.3,81.22,98.62,0.398,80.14,PASS,PSA-01
2026-01-01 00:12:00,C-101,Product 1,22.05,29.49,38.6,0.561,32.1,PASS,PSA-01
2026-01-01 00:12:00,C-101,Product 2,21.61,26.98,34.28,0.47,29.3,PASS,PSA-02
2026-01-01 00:18:00,C-101,Monitoring Port,65.04,81.23,100.15,0.432,79.83,PASS,PSA-01
2026-01-01 00:18:00,C-101,Product 1,22.08,31.11,39.48,0.559,32.19,PASS,PSA-01
2026-01-01 00:18:00,C-101,Product 2,20.91,27.36,36.31,0.563,29.41,PASS,PSA-02
2026-01-01 00:24:00,C-101,Monitoring Port,65.48,81.99,98.34,0.401,80.07,PASS,PSA-01
2026-01-01 00:24:00,C-101,Product 1,23.11,31.27,40.15,0.545,32.29,PASS,PSA-01
2026-01-01 00:24:00,C-101,Product 2,20.37,27.13,35.22,0.547,29.28,PASS,PSA-02
2026-01-01 00:30:00,C-101,Monitoring Port,67.76,80.93,99.7,0.395,79.8,PASS,PSA-01
2026-01-01 00:30:00,C-101,Product 1,24.41,30.7,39.94,0.506,33.01,PASS,PSA-01
2026-01-01 00:30:00,C-101,Product 2,21.39,27.4,34.52,0.479,28.62,PASS,PSA-02
2026-01-01 00:36:00,C-101,Monitoring Port,65.47,81.43,100.93,0.435,79.69,PASS,PSA-01
2026-01-01 00:36:00,C-101,Product 1,23.12,31.35,39.32,0.517,32.73,PASS,PSA-01
2026-01-01 00:36:00,C-101,Product 2,19.84,26.97,34.26,0.535,29.57,PASS,PSA-02
2026-01-01 00:42:00,C-101,Monitoring Port,66.43,83.57,97.47,0.371,80.24,PASS,PSA-01
2026-01-01 00:42:00,C-101,Product 1,23.37,29.69,39.36,0.539,32.2,PASS,PSA-01
2026-01-01 00:42:00,C-101,Product 2,20.48,28.42,34.13,0.48,29.29,PASS,PSA-02
2026-01-01 00:48:00,C-101,Monitoring Port,66.95,81.33,99.74,0.403,79.42,PASS,PSA-01
2026-01-01 00:48:00,C-101,Product 1,23.09,31.04,38.72,0.504,31.85,PASS,PSA-01
2026-01-01 00:48:00,C-101,Product 2,22.32,25.94,36.24,0.537,28.48,PASS,PSA-02
2026-01-01 00:54:00,C-101,Monitoring Port,67.37,82.81,99.32,0.386,80.49,PASS,PSA-01
2026-01-01 00:54:00,C-101,Product 1,22.62,31.44,38.9,0.518,32.13,PASS,PSA-01
2026-01-01 00:54:00,C-101,Product 2,21.69,28.48,34.69,0.456,29.04,PASS,PSA-02
2026-01-01 01:00:00,C-101,Monitoring Port,65.9,81.49,99.84,0.416,80.52,PASS,PSA-01
2026-01-01 01:00:00,C-101,Product 1,24.89,30.42,39.87,0.492,32.15,PASS,PSA-01
2026-01-01 01:00:00,C-101,Product 2,20.79,28.7,35.05,0.497,28.97,PASS,PSA-02
2026-01-01 01:06:00,C-101,Monitoring Port,65.96,81.44,100.01,0.418,80.06,PASS,PSA-01
2026-01-01 01:06:00,C-101,Product 1,23.63,32.29,38.29,0.454,33.0,PASS,PSA-01
2026-01-01 01:06:00,C-101,Product 2,21.08,28.35,35.63,0.513,28.64,PASS,PSA-02
2026-01-01 01:12:00,C-101,Monitoring Port,65.36,81.8,99.1,0.412,79.68,PASS,PSA-01
2026-01-01 01:12:00,C-101,Product 1,21.9,31.92,38.12,0.508,32.37,PASS,PSA-01
2026-01-01 01:12:00,C-101,Product 2,20.05,27.46,34.86,0.539,29.91,PASS,PSA-02
2026-01-01 01:18:00,C-101,Monitoring Port,66.15,82.21,98.89,0.398,79.65,PASS,PSA-01
2026-01-01 01:18:00,C-101,Product 1,23.55,31.02,40.13,0.534,31.54,PASS,PSA-01
2026-01-01 01:18:00,C-101,Product 2,22.07,28.19,34.37,0.436,29.12,PASS,PSA-02
2026-01-01 01:24:00,C-101,Monitoring Port,65.35,82.96,98.91,0.405,79.68,PASS,PSA-01
2026-01-01 01:24:00,C-101,Product 1,22.56,30.37,40.23,0.582,31.55,PASS,PSA-01
2026-01-01 01:24:00,C-101,Product 2,20.95,28.21,34.65,0.486,28.46,PASS,PSA-02
2026-01-01 01:30:00,C-101,Monitoring Port,67.67,81.74,97.95,0.37,79.69,PASS,PSA-01
2026-01-01 01:30:00,C-101,Product 1,23.1,30.86,37.88,0.479,32.12,PASS,PSA-01
2026-01-01 01:30:00,C-101,Product 2,20.06,28.62,35.31,0.533,28.88,PASS,PSA-02
2026-01-01 01:36:00,C-101,Monitoring Port,68.61,81.55,98.9,0.371,80.63,PASS,PSA-01
2026-01-01 01:36:00,C-101,Product 1,23.64,30.28,39.31,0.518,32.4,PASS,PSA-01
2026-01-01 01:36:00,C-101,Product 2,18.89,27.68,36.46,0.635,28.73,PASS,PSA-02
2026-01-01 01:42:00,C-101,Monitoring Port,67.19,81.4,99.17,0.393,80.03,PASS,PSA-01
2026-01-01 01:42:00,C-101,Product 1,22.42,29.6,39.66,0.582,31.76,PASS,PSA-01
2026-01-01 01:42:00,C-101,Product 2,22.63,27.77,34.89,0.441,29.19,PASS,PSA-02
2026-01-01 01:48:00,C-101,Monitoring Port,65.39,81.97,97.69,0.394,80.36,PASS,PSA-01
2026-01-01 01:48:00,C-101,Product 1,21.76,31.7,38.74,0.536,31.73,PASS,PSA-01
2026-01-01 01:48:00,C-101,Product 2,20.64,28.36,35.34,0.518,28.83,PASS,PSA-02
2026-01-01 01:54:00,C-101,Monitoring Port,65.34,81.04,97.13,0.392,80.5,PASS,PSA-01
2026-01-01 01:54:00,C-101,Product 1,23.24,32.0,39.8,0.517,32.41,PASS,PSA-01
